#Supplementary Table 21: Meta-analysis results for ICD10/ICF subchapter level.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICD-10/ICF subchapter,rMZall,rMZM,rMZF,rDZall,rDZSS,rDZM,rDZF,rDOS,SE_MZall,SE_MZM,SE_MZF,SE_DZall,SE_DZSS,SE_DZM,SE_DZF,SE_DOS,AFULL_all,ABEST_all,AFULL_SS,ABEST_SS,AFULL_M,ABEST_M,AFULL_F,ABEST_F,SE_AFULL_all,SE_ABEST_all,SE_AFULL_SS,SE_ABEST_SS,SE_AFULL_M,SE_ABEST_M,SE_AFULL_F,SE_ABEST_F,CFULL_all,CBEST_all,CFULL_SS,CBEST_SS,CFULL_M,CBEST_M,CFULL_F,CBEST_F,SE_CFULL_all,SE_CBEST_all,SE_CFULL_SS,SE_CBEST_SS,SE_CFULL_M,SE_CBEST_M,SE_CFULL_F,SE_CBEST_F,freq_rMZall,freq_rMZM,freq_rMZF,freq_rDZall,freq_rDZSS,freq_rDZM,freq_rDZF,freq_rDOS,freq_AFULL_all,freq_ABEST_all,freq_AFULL_SS,freq_ABEST_SS,freq_AFULL_M,freq_ABEST_M,freq_AFULL_F,freq_ABEST_F,freq_CFULL_all,freq_CBEST_all,freq_CFULL_SS,freq_CBEST_SS,freq_CFULL_M,freq_CBEST_M,freq_CFULL_F,freq_CBEST_F,nMZall,nMZM,nMZF,nDZall,nDZSS,nDZM,nDZF,nDOS,nAFULL_all,nABEST_all,nAFULL_SS,nABEST_SS,nAFULL_M,nABEST_M,nAFULL_F,nABEST_F,nCFULL_all,nCBEST_all,nCFULL_SS,nCBEST_SS,nCFULL_M,nCBEST_M,nCFULL_F,nCBEST_F
Diseases of Pulp and Periapical Tissues,0.472,NA,NA,NA,0.219,NA,NA,NA,0.030,NA,NA,NA,0.021,NA,NA,NA,NA,NA,0.519,0.487,NA,NA,NA,NA,NA,NA,0.033,0.028,NA,NA,NA,NA,NA,NA,0.000,0.000,NA,NA,NA,NA,NA,NA,0.047,0.011,NA,NA,NA,NA,14,2,2,2,14,2,2,2,0,2,4,7,0,2,0,2,0,2,4,7,0,2,0,2,"1,925",491,663,"3,401","2,150",625,957,"1,748",NA,"4,582",468,"8,338",NA,"1,116",NA,"1,621",NA,"4,582",468,"8,338",NA,"1,116",NA,"1,621"
Dissocial Personality Disorder,0.473,0.137,0.439,NA,0.216,0.096,0.250,NA,0.047,0.071,0.054,NA,0.036,0.050,0.055,NA,0.377,NA,0.368,0.400,0.395,0.398,0.344,0.322,0.054,NA,0.049,0.016,0.036,0.035,0.037,0.099,0.072,NA,0.094,0.006,0.094,0.073,0.092,0.068,0.014,NA,0.035,0.016,0.023,0.070,0.034,0.056,8,16,6,2,8,16,6,2,3,1,5,4,12,18,8,4,3,2,5,7,12,18,8,8,"4,102","19,742","2,559","4,178","3,077","15,793","1,762","1,774","10,329",780,"3,176","2,697","12,563","36,023","5,891","3,782","10,329","1,334","3,176","4,075","12,563","36,098","5,891","4,841"
Eating Disorders,0.475,0.445,0.514,0.193,0.285,0.215,0.243,0.128,0.041,0.041,0.016,0.012,0.034,0.047,0.014,0.015,0.404,0.379,0.407,0.437,0.367,0.376,0.445,0.481,0.022,0.035,0.065,0.060,0.057,0.067,0.017,0.019,0.041,0.024,0.071,0.002,0.169,0.154,0.082,0.022,0.012,0.023,0.020,0.006,0.077,0.100,0.012,0.009,22,23,91,8,21,22,87,10,8,8,11,14,22,17,88,80,8,8,11,14,22,17,88,84,"18,917","9,554","29,473","6,459","13,530","6,880","16,503","6,169","14,894","11,741","24,097","25,290","16,240","14,799","73,350","68,223","14,894","11,741","24,097","25,290","16,240","14,799","73,350","71,067"
Muscle Functions,0.476,NA,NA,0.395,0.396,NA,NA,NA,0.039,NA,NA,0.091,0.038,NA,NA,NA,NA,0.622,NA,0.646,NA,NA,NA,NA,NA,0.042,NA,0.031,NA,NA,NA,NA,NA,0.000,NA,0.000,NA,NA,NA,NA,NA,0.055,NA,0.057,NA,NA,NA,NA,20,1,1,3,17,1,1,0,0,8,0,4,1,1,1,1,0,8,0,4,1,1,1,1,844,10,102,78,580,10,113,NA,NA,352,NA,316,20,20,215,215,NA,352,NA,316,20,20,215,215
Food,0.479,0.453,0.444,0.220,0.269,0.248,0.255,0.148,0.016,0.015,0.012,0.015,0.010,0.012,0.010,0.011,0.436,0.345,0.411,0.443,0.346,0.388,0.421,0.365,0.029,0.013,0.031,0.023,0.034,0.018,0.028,0.015,0.115,0.043,0.128,0.090,0.151,0.076,0.103,0.093,0.021,0.009,0.020,0.019,0.022,0.013,0.016,0.011,205,167,195,110,188,167,193,95,43,187,36,61,48,107,58,139,43,188,36,61,48,108,58,145,"75,751","35,697","54,944","79,188","81,483","41,985","76,799","34,895","56,197","143,837","59,404","68,201","30,704","58,514","51,195","102,446","56,197","145,787","59,404","68,201","30,704","59,130","51,195","111,180"
Sleep Disorders,0.479,0.349,0.402,0.243,0.174,0.130,0.209,0.228,0.022,0.018,0.020,0.035,0.013,0.013,0.018,0.045,0.511,0.507,0.352,0.405,0.365,0.488,0.390,0.454,0.029,0.039,0.036,0.036,0.061,0.048,0.049,0.043,0.117,0.025,0.017,0.004,0.063,0.020,0.027,0.004,0.038,0.017,0.009,0.006,0.042,0.021,0.014,0.009,26,18,18,15,19,19,18,7,11,12,14,16,7,9,12,14,11,15,14,16,7,9,12,14,"19,787","13,810","10,277","8,104","28,331","16,197","15,287","2,186","10,007","15,582","35,507","46,727","2,547","7,707","7,252","13,310","10,007","16,482","35,507","46,727","2,547","7,707","7,252","13,310"
Schizotypal Disorder,0.482,0.444,0.436,0.214,0.116,NA,NA,0.085,0.020,0.033,0.031,0.043,0.083,NA,NA,0.069,NA,NA,0.315,0.330,NA,NA,0.426,0.455,NA,NA,0.097,0.096,NA,NA,0.039,0.028,NA,NA,0.013,0.000,NA,NA,0.063,0.028,NA,NA,0.066,0.066,NA,NA,0.026,0.013,19,5,7,10,4,0,2,5,0,0,4,4,0,0,7,7,0,0,4,4,0,0,7,7,"3,016",555,"1,367","2,143",144,NA,"1,593",215,NA,NA,236,236,NA,NA,"5,975","5,975",NA,NA,236,236,NA,NA,"5,975","5,975"
Psychological and Behavioural Disorders Associated with Sexual Development and Orientation,0.486,0.502,0.402,0.323,0.294,0.269,0.238,0.283,0.049,0.035,0.060,0.040,0.044,0.047,0.066,0.074,0.323,NA,0.274,NA,0.301,0.316,0.226,0.228,0.039,NA,0.058,NA,0.047,0.073,0.098,0.059,0.196,NA,0.107,NA,0.165,0.136,0.214,0.000,0.049,NA,0.040,NA,0.052,0.058,0.091,0.014,7,14,9,4,7,14,9,4,4,2,3,0,12,9,4,3,4,2,3,0,12,12,4,3,"5,069","4,759","6,061","4,843","3,148","3,698","4,453","1,931","7,546","5,797",617,NA,"7,433","5,708","2,511","5,136","7,546","5,797",617,NA,"7,433","7,601","2,511","5,136"
Cystic Fibrosis,0.491,NA,NA,0.592,NA,NA,NA,NA,0.055,NA,NA,0.105,NA,NA,NA,NA,0.168,0.215,NA,NA,NA,NA,NA,NA,0.151,0.129,NA,NA,NA,NA,NA,NA,0.450,0.370,NA,NA,NA,NA,NA,NA,0.113,0.122,NA,NA,NA,NA,NA,NA,4,0,0,4,0,0,0,0,4,10,0,0,0,0,0,0,4,5,0,0,0,0,0,0,176,NA,NA,68,NA,NA,NA,NA,244,610,NA,NA,NA,NA,NA,NA,244,305,NA,NA,NA,NA,NA,NA
Emotionally Unstable Personality Disorder,0.492,0.545,0.674,0.377,0.261,0.303,0.388,0.320,0.035,0.047,0.053,0.087,0.052,0.063,0.096,0.051,0.373,0.345,NA,0.364,0.277,0.292,0.448,0.402,0.040,0.036,NA,0.034,0.042,0.032,0.042,0.041,0.366,0.194,NA,0.067,0.348,0.244,0.288,0.179,0.089,0.066,NA,0.031,0.124,0.123,0.065,0.062,31,16,8,7,30,16,7,8,6,10,1,24,9,11,5,8,6,9,1,24,9,10,5,8,"17,170","6,521","7,315","6,633","5,079","7,443","1,871","20,173","42,271","49,002",217,"6,513","2,786","4,958","2,053","5,166","42,271","48,511",217,"6,513","2,786","4,766","2,053","5,166"
Informal Social Relationships,0.492,0.523,0.453,0.221,0.294,0.232,0.246,0.190,0.036,0.059,0.055,0.040,0.037,0.055,0.048,0.046,0.390,0.315,0.322,0.365,0.385,0.403,0.357,0.394,0.067,0.048,0.033,0.032,0.055,0.098,0.039,0.050,0.123,0.096,0.217,0.138,0.139,0.099,0.151,0.150,0.035,0.031,0.044,0.046,0.039,0.053,0.037,0.042,37,10,16,11,31,9,15,8,9,16,13,16,15,8,22,18,9,17,13,17,15,10,22,19,"19,559","4,462","6,443","12,153","11,543","3,478","5,834","6,444","20,339","19,912","9,725","9,004","14,966","8,129","18,803","15,081","20,339","23,626","9,725","10,306","14,966","9,937","18,803","16,447"
Memory Functions,0.496,0.490,0.410,0.201,0.215,0.244,0.236,0.228,0.014,0.041,0.034,0.019,0.015,0.030,0.019,0.055,0.460,0.446,0.324,0.498,0.437,0.419,0.382,0.357,0.027,0.045,0.032,0.034,0.031,0.059,0.040,0.046,0.065,0.033,0.101,0.041,0.087,0.039,0.060,0.073,0.017,0.020,0.034,0.031,0.020,0.021,0.037,0.034,129,27,17,63,60,27,17,5,52,21,21,26,17,20,8,13,52,25,21,26,17,23,8,13,"9,747","4,445","2,052","4,613","5,371","4,310","2,714",668,"7,541","4,834","5,625","3,975","4,590","4,352","4,741","7,416","7,541","5,394","5,625","3,975","4,590","4,965","4,741","7,416"
Respiration Functions,0.504,0.463,0.536,0.202,0.175,0.207,0.151,0.254,0.024,0.027,0.025,0.021,0.031,0.036,0.038,0.037,NA,0.391,NA,NA,NA,NA,NA,NA,NA,0.037,NA,NA,NA,NA,NA,NA,NA,0.017,NA,NA,NA,NA,NA,NA,NA,0.017,NA,NA,NA,NA,NA,NA,30,20,19,19,19,20,19,19,0,19,1,1,1,1,0,0,0,19,1,1,1,1,0,0,"2,529",831,819,"2,026","1,368",733,689,658,NA,"3,608","1,387","1,387",122,122,NA,NA,NA,"3,608","1,387","1,387",122,122,NA,NA
Migraine,0.506,0.461,0.496,0.239,0.243,0.225,0.207,0.140,0.021,0.043,0.017,0.024,0.015,0.037,0.015,0.052,0.415,0.418,0.465,0.474,NA,0.490,0.467,0.492,0.026,0.026,0.034,0.025,NA,0.035,0.024,0.017,0.000,0.000,0.004,0.000,NA,0.000,0.019,0.000,0.011,0.011,0.012,0.010,NA,0.015,0.018,0.011,18,6,16,7,12,7,17,4,7,7,5,9,1,5,8,13,7,7,5,9,1,5,8,13,"3,773",319,"5,063","1,571","4,433",640,"3,982",357,"9,019","9,019","6,895","10,259",91,"4,564","6,125","7,862","9,019","9,019","6,895","10,259",91,"4,564","6,125","7,862"
Sleep Functions,0.507,0.504,0.529,0.261,0.165,0.226,0.310,0.152,0.041,0.071,0.087,0.052,0.049,0.070,0.083,0.090,0.345,0.336,NA,0.389,0.296,0.315,0.251,0.337,0.026,0.048,NA,0.036,0.024,0.025,0.021,0.084,0.127,0.041,NA,0.000,0.116,0.084,0.156,0.116,0.068,0.058,NA,0.006,0.093,0.078,0.113,0.119,81,24,15,68,45,24,15,32,24,38,1,5,13,11,8,4,24,43,1,5,13,15,8,8,"21,638","7,078","6,176","20,589","23,956","9,770","8,490","5,289","37,602","18,871","8,753","25,984","12,582","15,290","13,964","8,169","37,602","32,043","8,753","25,984","12,582","18,458","13,964","14,897"
Potential Health Hazards Related to Socioeconomic and Psychosocial Circumstances,0.507,0.523,0.465,0.364,0.354,0.377,0.341,0.310,0.029,0.032,0.036,0.031,0.041,0.040,0.069,0.038,0.235,0.198,0.293,0.228,0.257,0.187,0.284,0.149,0.022,0.025,0.060,0.074,0.033,0.047,0.050,0.027,0.219,0.253,0.455,0.480,0.247,0.345,0.227,0.358,0.034,0.052,0.071,0.080,0.033,0.057,0.031,0.079,57,33,71,43,37,32,71,25,39,38,15,13,25,15,24,59,39,36,15,13,25,14,24,56,"23,955","11,902","35,403","22,388","13,132","8,604","24,857","8,739","71,039","60,476","11,265","9,357","33,643","20,617","20,526","51,863","71,039","52,600","11,265","9,530","33,643","19,101","20,526","48,577"
Other Functions of the Skin,0.509,0.511,0.547,0.343,0.192,0.235,0.343,0.375,0.034,0.027,0.062,0.024,0.037,0.033,0.043,0.062,NA,0.519,0.356,0.371,NA,0.358,0.339,NA,NA,0.118,0.021,0.034,NA,0.086,0.038,NA,NA,0.000,0.031,0.000,NA,0.000,0.196,NA,NA,0.031,0.024,0.024,NA,0.031,0.076,NA,21,8,6,11,15,8,6,5,2,4,10,10,2,4,3,2,2,3,10,10,2,3,3,1,"1,969",983,538,"1,295","1,497",796,415,502,"1,087","1,580","1,730","1,730",388,"1,238",523,314,"1,087","1,019","1,730","1,730",388,"1,035",523,93
Dissociative [Conversion] Disorders,0.517,NA,NA,NA,0.254,NA,NA,NA,0.044,NA,NA,NA,0.059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,3,2,2,2,0,2,1,1,0,0,0,0,0,2,1,1,0,0,0,0,572,164,190,342,445,82,190,70,NA,696,391,391,NA,NA,NA,NA,NA,696,391,391,NA,NA,NA,NA
Assets,0.522,NA,NA,NA,NA,NA,NA,NA,0.074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,1,1,2,2,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,0,1,0,"3,819",652,"1,239","1,842","1,127",409,732,782,"3,660",NA,719,160,907,NA,"1,971",NA,"3,660",NA,719,160,907,NA,"1,971",NA
Global Psychosocial Functions,0.523,NA,0.757,0.196,NA,NA,0.509,NA,0.085,NA,0.028,0.055,NA,NA,0.155,NA,0.264,0.477,NA,NA,NA,NA,NA,NA,0.145,0.142,NA,NA,NA,NA,NA,NA,0.113,0.113,NA,NA,NA,NA,NA,NA,0.039,0.065,NA,NA,NA,NA,NA,NA,8,2,4,5,2,1,3,0,6,3,1,1,1,0,2,2,6,3,1,0,1,0,2,2,"1,249",210,444,"1,178",262,99,311,NA,"2,512","1,612",181,181,223,NA,441,412,"2,512","1,612",181,NA,223,NA,441,412
Sensation of Pain,0.527,NA,0.477,0.072,NA,NA,0.246,NA,0.088,NA,0.049,0.091,NA,NA,0.076,NA,0.405,0.358,NA,NA,NA,NA,NA,0.320,0.063,0.090,NA,NA,NA,NA,NA,0.027,0.028,0.000,NA,NA,NA,NA,NA,0.022,0.031,0.032,NA,NA,NA,NA,NA,0.020,5,0,10,5,0,0,10,0,11,10,0,0,0,0,1,17,11,10,0,0,0,0,1,16,223,NA,728,144,NA,NA,763,NA,"1,051",990,NA,NA,NA,NA,609,"15,946","1,051",990,NA,NA,NA,NA,609,"15,337"
Heart Functions,0.529,0.540,0.515,0.268,0.311,0.260,0.287,0.243,0.009,0.012,0.018,0.011,0.015,0.020,0.016,0.027,0.290,0.503,0.304,0.491,0.347,0.483,0.443,0.417,0.037,0.014,0.055,0.037,0.029,0.025,0.039,0.036,0.159,0.024,0.260,0.000,0.109,0.035,0.147,0.063,0.028,0.008,0.050,0.014,0.031,0.016,0.029,0.021,174,86,87,140,66,78,79,44,21,134,7,14,10,26,23,38,21,134,7,13,10,26,23,38,"15,070","4,741","6,172","11,109","6,574","4,259","6,504","2,074","5,627","31,311","1,294","5,048","2,322","8,018","5,220","11,247","5,627","31,311","1,294","4,981","2,322","8,018","5,220","11,247"
Obsessive-Compulsive Disorder,0.531,0.521,0.484,0.297,0.283,0.280,0.258,0.275,0.027,0.016,0.014,0.025,0.010,0.017,0.011,0.013,0.448,0.462,NA,0.417,0.489,0.429,0.452,0.460,0.026,0.017,NA,0.020,0.027,0.035,0.018,0.022,0.152,0.055,NA,0.027,0.131,0.096,0.090,0.041,0.025,0.022,NA,0.026,0.025,0.030,0.017,0.017,29,24,38,27,23,23,37,22,21,34,1,5,16,13,29,23,21,36,1,5,16,15,29,28,"25,806","6,908","22,345","31,994","11,571","5,682","13,299","10,919","50,208","44,867",377,"4,989","8,722","6,786","29,555","18,071","50,208","49,783",377,"4,989","8,722","6,950","29,555","27,211"
Work and Employment,0.537,0.572,0.493,0.251,0.385,0.418,0.353,-0.034,0.116,0.118,0.119,0.091,0.139,0.146,0.134,0.118,NA,0.372,NA,NA,NA,NA,NA,NA,NA,0.055,NA,NA,NA,NA,NA,NA,NA,0.000,NA,NA,NA,NA,NA,NA,NA,0.015,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,4,4,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,"1,559",563,927,"4,442","2,139",807,"1,282","2,090",NA,"4,673",NA,NA,NA,NA,NA,NA,NA,"4,673",NA,NA,NA,NA,NA,NA
Endocrine Gland Functions,0.538,0.529,0.587,0.382,0.320,0.324,0.360,0.382,0.017,0.017,0.016,0.025,0.020,0.014,0.022,0.069,0.319,0.506,0.453,0.504,0.448,0.295,0.541,0.556,0.061,0.026,0.043,0.044,0.055,0.054,0.059,0.066,0.345,0.081,0.096,0.074,0.162,0.028,0.105,0.102,0.069,0.031,0.051,0.038,0.052,0.018,0.061,0.068,139,123,22,92,57,118,22,10,17,60,11,21,8,29,7,6,16,60,11,21,8,29,7,6,"8,533","11,171","4,327","7,295","3,321","10,891","1,662",535,"5,389","16,636","1,614","2,387","2,057","9,830","5,106","4,820","5,300","16,636","1,614","2,387","2,057","9,830","5,106","4,820"
Telomeres,0.541,0.585,0.348,0.386,0.257,0.656,0.204,NA,0.079,0.190,0.065,0.101,0.051,0.152,0.064,NA,NA,0.723,NA,0.142,NA,0.000,NA,0.210,NA,0.053,NA,0.041,NA,0.046,NA,0.048,NA,0.000,NA,0.065,NA,0.588,NA,0.006,NA,0.059,NA,0.042,NA,0.188,NA,0.051,7,4,3,4,3,4,3,0,1,4,0,3,1,4,0,3,1,4,0,3,1,4,0,3,412,265,172,139,318,227,216,NA,172,295,NA,574,306,492,NA,388,172,295,NA,574,306,492,NA,388
Other Anxiety Disorders,0.548,0.499,0.530,0.327,0.344,0.331,0.285,0.320,0.013,0.018,0.015,0.016,0.016,0.019,0.017,0.018,0.400,0.424,0.273,0.403,0.345,0.376,0.305,0.374,0.016,0.012,0.021,0.031,0.024,0.022,0.022,0.016,0.169,0.089,0.186,0.060,0.160,0.121,0.141,0.078,0.015,0.014,0.029,0.025,0.020,0.018,0.024,0.016,191,124,148,145,125,115,142,92,92,117,25,23,41,51,68,83,92,117,25,18,41,45,68,77,"105,902","56,036","58,358","153,730","73,169","47,432","48,999","75,616","196,184","209,837","38,334","42,993","59,418","69,341","63,946","71,977","196,184","218,557","38,334","37,318","59,418","69,384","63,946","71,818"
Problems Related to Negative Life Events In Childhood,0.550,NA,NA,0.369,0.409,NA,NA,NA,0.047,NA,NA,0.104,0.074,NA,NA,NA,NA,NA,NA,0.130,NA,NA,NA,NA,NA,NA,NA,0.067,NA,NA,NA,NA,NA,NA,NA,0.312,NA,NA,NA,NA,NA,NA,NA,0.050,NA,NA,NA,NA,24,1,1,12,12,1,1,0,0,0,0,11,0,0,0,0,0,0,0,11,0,0,0,0,"2,584",185,221,"1,223",762,98,114,NA,NA,NA,NA,"1,573",NA,NA,NA,NA,NA,NA,NA,"1,573",NA,NA,NA,NA
Dorsalgia,0.556,0.337,0.454,0.216,0.281,0.160,0.244,0.192,0.021,0.026,0.026,0.032,0.021,0.020,0.029,0.044,0.403,0.335,NA,0.471,0.371,0.364,0.400,0.415,0.045,0.049,NA,0.027,0.029,0.035,0.051,0.030,0.072,0.125,NA,0.050,0.052,0.011,0.050,0.052,0.029,0.037,NA,0.015,0.028,0.017,0.034,0.023,47,28,26,9,47,28,25,9,11,13,1,39,17,12,9,22,11,13,1,39,8,12,9,22,"19,381","5,736","5,981","28,486","18,654","7,025","7,566","13,849","47,465","52,057",272,"50,886","8,478","7,557","7,834","18,658","47,465","52,057",272,"50,886","5,778","7,557","7,834","18,658"
Looking After One's Health,0.565,0.534,0.568,0.328,0.321,0.296,0.335,0.213,0.021,0.023,0.020,0.023,0.021,0.021,0.022,0.019,0.411,0.437,0.314,0.385,0.367,0.438,0.419,0.425,0.018,0.021,0.041,0.030,0.022,0.027,0.020,0.033,0.127,0.129,0.131,0.045,0.113,0.057,0.132,0.164,0.027,0.035,0.022,0.015,0.017,0.025,0.022,0.053,88,80,73,55,72,71,65,46,38,46,18,31,57,39,47,22,38,46,18,30,57,41,47,22,"56,464","27,939","33,396","54,572","56,575","26,933","28,825","23,237","112,595","83,937","41,707","47,584","92,626","48,042","73,292","21,378","112,595","83,937","41,707","47,433","92,626","46,953","73,292","21,378"
Perceptual Functions,0.566,0.243,NA,0.265,0.200,NA,NA,NA,0.031,0.176,NA,0.110,0.097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.023,0.006,NA,NA,NA,NA,NA,NA,0.017,0.015,NA,NA,NA,NA,NA,NA,9,3,0,3,4,0,0,1,2,2,0,0,0,0,0,0,14,14,0,0,0,0,0,0,492,30,NA,209,161,NA,NA,17,574,248,NA,NA,NA,NA,NA,NA,"4,762","4,436",NA,NA,NA,NA,NA,NA
Phobic Anxiety Disorders,0.566,0.481,0.515,0.290,0.265,0.219,0.260,0.264,0.029,0.038,0.028,0.030,0.030,0.036,0.027,0.039,0.490,0.447,0.243,0.359,0.320,0.314,0.327,0.372,0.026,0.033,0.038,0.054,0.026,0.041,0.037,0.033,0.154,0.099,0.060,0.034,0.144,0.181,0.135,0.115,0.019,0.019,0.017,0.015,0.049,0.079,0.032,0.027,48,31,40,31,37,31,40,21,48,32,10,12,15,11,29,37,48,32,10,12,15,11,29,37,"33,027","9,119","13,773","50,312","12,741","6,517","8,697","12,801","109,221","91,845","11,768","13,470","7,879","3,087","17,356","25,711","109,221","91,845","11,768","13,470","7,879","3,087","17,356","25,711"
Nonorganic Sleep Disorders,0.574,NA,NA,NA,NA,NA,NA,NA,0.083,NA,NA,NA,NA,NA,NA,NA,NA,0.447,NA,NA,NA,NA,NA,NA,NA,0.026,NA,NA,NA,NA,NA,NA,NA,0.000,NA,NA,NA,NA,NA,NA,NA,0.033,NA,NA,NA,NA,NA,NA,3,0,0,2,1,0,0,0,1,3,0,0,0,0,0,0,1,3,0,0,0,0,0,0,"1,116",NA,NA,436,"1,442",NA,NA,NA,183,920,NA,NA,NA,NA,NA,NA,183,920,NA,NA,NA,NA,NA,NA
Emotional Disorders with Onset Specific to Childhood,0.574,0.479,0.539,0.301,0.341,0.339,0.314,0.414,0.080,0.165,0.073,0.068,0.132,0.135,0.110,0.078,0.444,0.432,NA,NA,NA,NA,NA,NA,0.100,0.111,NA,NA,NA,NA,NA,NA,0.201,0.195,NA,NA,NA,NA,NA,NA,0.071,0.079,NA,NA,NA,NA,NA,NA,7,3,4,7,3,3,4,3,6,7,0,0,0,0,1,0,6,7,0,0,0,0,0,0,"6,686","1,224","2,614","11,032","2,169","1,080","1,980","1,994","16,363","16,743",NA,NA,NA,NA,"2,018",NA,"16,363","16,743",NA,NA,NA,NA,NA,NA
Type 2 Diabetes Mellitus,0.574,0.690,NA,NA,0.162,0.365,NA,NA,0.133,0.023,NA,NA,0.130,0.035,NA,NA,NA,NA,NA,0.520,NA,NA,NA,NA,NA,NA,NA,0.059,NA,NA,NA,NA,NA,NA,NA,0.055,NA,NA,NA,NA,NA,NA,NA,0.052,NA,NA,NA,NA,6,4,1,1,5,4,1,0,1,1,2,9,0,2,0,1,1,1,2,9,0,2,0,1,312,456,83,69,640,581,232,NA,113,113,105,"1,104",NA,976,NA,315,113,113,105,"1,104",NA,976,NA,315
Vestibular Functions,0.576,NA,NA,0.212,0.278,NA,NA,NA,0.052,NA,NA,0.060,0.013,NA,NA,NA,0.310,0.352,NA,NA,NA,NA,NA,NA,0.042,0.035,NA,NA,NA,NA,NA,NA,0.068,0.034,NA,NA,NA,NA,NA,NA,0.029,0.040,NA,NA,NA,NA,NA,NA,10,1,1,4,7,1,1,1,4,4,0,0,0,0,0,0,4,4,0,0,0,0,0,0,"3,301","1,266","1,624","8,930","4,918","2,085","2,587","4,009","12,099","12,099",NA,NA,NA,NA,NA,NA,"12,099","12,099",NA,NA,NA,NA,NA,NA
Muscle Power Functions,0.577,0.696,0.901,0.081,0.381,0.352,0.431,NA,0.074,0.015,0.021,0.132,0.181,0.011,0.066,NA,NA,0.701,NA,0.520,0.607,0.604,0.261,0.364,NA,0.065,NA,0.017,0.026,0.035,0.089,0.145,NA,0.000,NA,0.000,0.053,0.043,0.297,0.243,NA,0.063,NA,0.024,0.015,0.024,0.122,0.121,7,36,17,4,3,36,17,0,0,5,0,4,7,46,5,4,0,5,0,4,3,46,3,4,186,"5,705",835,64,77,"6,318",648,NA,NA,265,NA,"1,757","10,402","1,875","1,303",647,NA,265,NA,"1,757","10,338","1,875",597,647
Blood Pressure Functions,0.581,0.554,0.533,0.307,0.322,0.276,0.325,0.254,0.010,0.014,0.016,0.013,0.015,0.016,0.015,0.020,0.474,0.481,0.521,0.584,0.502,0.486,0.381,0.331,0.018,0.014,0.036,0.028,0.041,0.023,0.031,0.036,0.114,0.030,0.089,0.029,0.126,0.027,0.180,0.112,0.023,0.010,0.023,0.015,0.039,0.025,0.029,0.029,179,143,78,110,110,137,72,49,26,117,22,30,22,26,17,21,26,117,22,30,22,16,17,18,"20,621","8,431","9,350","11,620","8,429","7,533","9,268","2,218","9,598","24,872","5,283","5,568","1,610","6,291","10,249","9,822","9,598","24,872","5,283","5,568","1,610","4,751","10,249","8,637"
Problems Related to Upbringing,0.583,0.565,0.651,0.459,0.432,0.402,0.521,0.347,0.016,0.030,0.026,0.020,0.020,0.027,0.032,0.032,0.297,0.266,0.245,0.255,0.358,0.319,0.267,0.275,0.024,0.029,0.029,0.030,0.034,0.073,0.029,0.039,0.332,0.339,0.268,0.234,0.202,0.117,0.378,0.340,0.021,0.023,0.037,0.044,0.034,0.052,0.042,0.059,113,28,39,57,83,28,39,33,39,39,40,39,19,8,28,24,39,45,40,38,19,17,28,27,"45,193","11,805","17,937","53,254","35,101","10,586","14,445","17,341","84,752","77,637","15,210","19,744","12,616","7,006","19,727","19,023","84,752","81,242","15,210","19,418","12,616","9,795","19,727","19,977"
Recreation and Leisure,0.590,NA,NA,0.419,0.299,NA,NA,NA,0.037,NA,NA,0.034,0.061,NA,NA,NA,0.545,0.545,NA,NA,NA,NA,NA,NA,0.029,0.029,NA,NA,NA,NA,NA,NA,0.181,0.181,NA,NA,NA,NA,NA,NA,0.037,0.037,NA,NA,NA,NA,NA,NA,30,0,0,8,22,0,0,0,3,3,0,1,0,0,0,0,3,3,0,0,0,0,0,0,"1,763",NA,NA,"1,292",762,NA,NA,NA,819,819,NA,151,NA,NA,NA,NA,819,819,NA,NA,NA,NA,NA,NA
