#Supplementary Table 20: Meta-analysis results for ICD10/ICF chapter level.
ICD10-ICF Chapter,rMZall,rMZM,rMZF,rDZall,rDZSS,rDZM,rDZF,rDOS,SE_MZall,SE_MZM,SE_MZF,SE_DZall,SE_DZSS,SE_DZM,SE_DZF,SE_DOS,AFULL_all,ABEST_all,AFULL_SS,ABEST_SS,AFULL_M,ABEST_M,AFULL_F,ABEST_F,SE_AFULL_all,SE_ABEST_all,SE_AFULL_SS,SE_ABEST_SS,SE_AFULL_M,SE_ABEST_M,SE_AFULL_F,SE_ABEST_F,CFULL_all,CBEST_all,CFULL_SS,CBEST_SS,CFULL_M,CBEST_M,CFULL_F,CBEST_F,SE_CFULL_all,SE_CBEST_all,SE_CFULL_SS,SE_CBEST_SS,SE_CFULL_M,SE_CBEST_M,SE_CFULL_F,SE_CBEST_F,freq_rMZall,freq_rMZM,freq_rMZF,freq_rDZall,freq_rDZSS,freq_rDZM,freq_rDZF,freq_rDOS,freq_AFULL_all,freq_ABEST_all,freq_AFULL_SS,freq_ABEST_SS,freq_AFULL_M,freq_ABEST_M,freq_AFULL_F,freq_ABEST_F,freq_CFULL_all,freq_CBEST_all,freq_CFULL_SS,freq_CBEST_SS,freq_CFULL_M,freq_CBEST_M,freq_CFULL_F,freq_CBEST_F,nMZall,nMZM,nMZF,nDZall,nDZSS,nDZM,nDZF,nDOS,nAFULL_all,nABEST_all,nAFULL_SS,nABEST_SS,nAFULL_M,nABEST_M,nAFULL_F,nABEST_F,nCFULL_all,nCBEST_all,nCFULL_SS,nCBEST_SS,nCFULL_M,nCBEST_M,nCFULL_F,nCBEST_F
Certain Conditions Originating In the Perinatal Period,0.720,0.248,0.399,0.521,0.211,0.314,0.218,NA,0.059,0.222,0.068,0.061,0.182,0.187,0.090,NA,0.233,0.451,NA,NA,NA,0.061,0.314,0.231,0.085,0.098,NA,NA,NA,0.052,0.058,0.045,NA,0.324,NA,NA,NA,NA,0.132,0.105,NA,0.101,NA,NA,NA,NA,0.135,0.138,14,4,8,12,4,3,7,2,3,12,0,2,1,3,5,6,2,11,0,0,1,1,5,6,"2,954",954,"3,302","3,889","2,242",984,"3,636","1,512","4,805","6,413",NA,"1,171","1,457","1,904","5,972","4,670","4,728","6,161",NA,NA,"1,457","1,457","5,972","4,670"
Diseases of the Respiratory System,0.721,0.695,0.651,0.313,0.441,0.292,0.298,0.215,0.029,0.028,0.033,0.026,0.030,0.033,0.029,0.025,0.548,0.621,0.741,0.748,0.679,0.646,0.555,0.609,0.033,0.039,0.098,0.073,0.030,0.052,0.042,0.034,0.086,0.043,0.089,0.006,0.071,0.065,0.093,0.048,0.019,0.014,0.060,0.024,0.041,0.037,0.039,0.034,70,29,27,55,41,30,28,25,47,49,3,3,11,11,11,10,47,51,3,3,11,11,11,10,"23,511","9,239","8,861","39,723","15,116","8,836","8,142","12,072","66,828","99,990","1,702","1,702","2,662","6,685","3,736","3,717","66,828","127,597","1,702","1,702","2,662","6,685","3,736","3,717"
"Functions of the Digestive, Metabolic and Endocrine Systems",0.726,0.697,0.729,0.401,0.403,0.375,0.398,0.346,0.005,0.007,0.006,0.007,0.007,0.007,0.007,0.012,0.574,0.662,0.571,0.567,0.625,0.686,0.631,0.672,0.011,0.009,0.021,0.012,0.012,0.013,0.012,0.010,0.197,0.092,0.139,0.066,0.160,0.080,0.173,0.087,0.012,0.011,0.015,0.009,0.012,0.011,0.013,0.011,1051,627,566,556,675,614,556,246,372,541,98,219,265,269,290,331,371,578,98,217,266,321,278,358,"218,722","97,217","113,048","205,216","171,412","100,628","116,852","74,465","518,189","507,944","38,463","81,724","144,554","121,587","144,212","181,757","519,438","533,435","38,463","82,937","145,286","147,158","139,542","192,077"
"The Eye, Ear and Related Structures",0.737,0.762,0.731,0.370,0.338,0.296,0.337,0.328,0.022,0.030,0.020,0.019,0.023,0.030,0.022,0.022,0.732,0.744,0.835,0.853,0.592,0.726,0.623,0.698,0.039,0.031,0.044,0.030,0.039,0.066,0.033,0.028,0.021,0.006,0.072,0.058,0.082,0.024,0.043,0.022,0.009,0.006,0.057,0.055,0.025,0.024,0.017,0.010,123,24,52,86,57,24,53,26,44,63,11,17,25,9,30,37,44,63,11,17,25,20,30,37,"19,338","2,982","7,536","13,580","3,882","1,126","5,900","2,475","22,650","27,580","1,198","2,169","6,720","1,704","9,001","11,424","22,650","27,580","1,198","2,169","6,720","6,005","9,001","11,424"
Function of Dna,0.747,NA,NA,0.763,NA,NA,NA,NA,0.026,NA,NA,0.028,NA,NA,NA,NA,0.055,0.067,0.481,0.842,NA,NA,NA,NA,0.026,0.046,0.063,0.030,NA,NA,NA,NA,0.736,0.713,0.349,0.062,NA,NA,NA,NA,0.033,0.071,0.063,0.074,NA,NA,NA,NA,19,2,0,19,0,2,0,0,20,18,7,7,0,0,0,0,20,9,7,7,0,0,0,0,684,32,NA,741,NA,32,NA,NA,"1,500","1,298",196,196,NA,NA,NA,NA,"1,500",623,196,196,NA,NA,NA,NA
Diseases of the Eye and Adnexa,0.748,NA,0.859,0.485,0.353,NA,0.449,NA,0.036,NA,0.040,0.034,0.096,NA,0.086,NA,0.528,0.561,NA,NA,NA,NA,0.531,0.671,0.138,0.119,NA,NA,NA,NA,0.028,0.090,0.237,0.200,NA,NA,NA,NA,0.220,0.166,0.130,0.121,NA,NA,NA,NA,0.081,0.079,25,1,4,19,6,1,4,0,5,6,0,0,0,0,3,4,5,6,0,0,0,0,3,4,"2,373",23,709,"2,389",173,17,878,NA,"3,430","3,630",NA,NA,NA,NA,"1,518","2,024","3,430","3,630",NA,NA,NA,NA,"1,518","2,024"
Skin and Related Structures,0.780,0.767,0.763,0.446,0.361,0.411,0.432,0.367,0.029,0.036,0.044,0.021,0.023,0.035,0.019,0.024,0.589,0.623,NA,NA,NA,NA,0.548,0.627,0.048,0.048,NA,NA,NA,NA,0.060,0.066,0.191,0.104,NA,NA,0.205,0.187,0.102,0.100,0.032,0.029,NA,NA,0.150,0.113,0.034,0.037,71,32,41,49,46,32,41,24,30,28,1,0,2,2,11,12,31,37,1,0,5,5,14,15,"10,350","5,006","4,359","11,138","6,339","4,192","5,006","3,300","8,889","9,296",345,NA,291,"4,281","3,373","4,227","13,362","15,799",345,NA,"1,781","5,771","5,765","6,619"
"Endocrine, Nutritional and Metabolic Diseases",0.783,0.937,0.892,0.367,0.353,0.345,0.424,0.218,0.026,0.010,0.014,0.024,0.028,0.024,0.028,0.020,0.512,0.584,0.585,0.552,0.634,0.748,0.708,0.642,0.084,0.044,0.125,0.029,0.111,0.025,0.076,0.072,0.273,0.128,0.172,0.056,0.009,0.001,0.133,0.098,0.052,0.027,0.146,0.037,0.030,0.011,0.057,0.045,44,38,34,25,30,37,33,12,18,31,3,13,4,15,8,14,17,26,3,13,4,15,8,14,"5,395","3,548","3,615","8,042","5,165","3,809","2,961","5,020","5,089","36,142",143,"4,997","1,111","8,677","3,212","5,051","4,994","35,837",143,"4,997","1,111","8,677","3,212","5,051"
Cell,0.786,NA,NA,0.406,NA,NA,NA,NA,0.061,NA,NA,0.117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,1,4,0,0,1,0,0,2,0,0,0,0,1,1,0,2,0,0,0,0,1,1,106,NA,28,50,NA,NA,26,NA,NA,108,NA,NA,NA,NA,54,54,NA,108,NA,NA,NA,NA,54,54
Certain Infectious and Parasitic Diseases,0.788,0.921,0.764,0.528,0.609,0.625,0.529,0.643,0.074,0.038,0.053,0.125,0.106,0.106,0.159,0.114,0.507,0.507,NA,NA,NA,NA,NA,NA,0.123,0.123,NA,NA,NA,NA,NA,NA,0.453,0.453,NA,NA,NA,NA,NA,NA,0.145,0.145,NA,NA,NA,NA,NA,NA,6,3,3,5,4,3,3,3,3,3,0,1,0,0,0,0,3,3,1,1,0,0,0,0,496,136,147,963,342,176,132,353,990,990,NA,28,NA,NA,NA,NA,990,990,28,28,NA,NA,NA,NA
"Structures Related to the Digestive, Metabolic and Endocrine Systems",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,104,58,46,NA,105,57,48,NA,NA,NA,209,209,115,115,94,94,NA,NA,209,209,115,115,94,94
Structures Related to the Genitourinary and Reproductive Systems,NA,0.614,0.706,NA,NA,NA,0.353,NA,NA,0.045,0.020,NA,NA,NA,0.042,NA,NA,NA,NA,NA,NA,NA,0.568,0.574,NA,NA,NA,NA,NA,NA,0.070,0.067,NA,NA,NA,NA,NA,NA,0.026,0.009,NA,NA,NA,NA,NA,NA,0.019,0.017,0,3,23,0,0,2,18,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,6,6,NA,167,"3,635",NA,NA,94,"2,352",NA,NA,NA,NA,NA,NA,NA,"2,684","3,480",NA,NA,NA,NA,NA,NA,"2,684","3,480"
Symptoms and Signs Involving Speech and Voice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Structures Involved In Voice and Speech,0.819,0.863,0.845,0.399,0.467,0.564,0.411,0.423,0.010,0.010,0.015,0.012,0.026,0.035,0.039,0.033,0.574,0.785,NA,NA,NA,0.801,NA,0.808,0.072,0.014,NA,NA,NA,0.035,NA,0.027,0.342,0.013,NA,NA,NA,0.027,NA,0.022,0.137,0.007,NA,NA,NA,0.027,NA,0.022,127,9,10,119,38,9,11,28,6,137,0,2,1,22,2,23,3,127,0,2,1,21,2,22,"7,769",560,726,"8,493","1,745",370,445,"1,229","1,315","20,771",NA,776,113,"2,234",206,"2,551",373,"19,275",NA,776,113,"2,154",206,"2,447"
Diseases of the Ear and Mastoid Process,0.852,0.718,0.680,NA,0.527,0.423,0.233,0.306,0.018,0.014,0.036,NA,0.029,0.068,0.025,0.020,NA,NA,0.619,0.577,0.616,0.616,0.678,0.675,NA,NA,0.026,0.029,0.067,0.067,0.033,0.029,NA,NA,0.251,0.242,0.105,0.105,0.000,0.000,NA,NA,0.042,0.044,0.112,0.112,0.019,0.019,24,3,3,2,24,3,3,4,2,2,23,18,3,3,3,3,2,2,22,22,3,3,3,3,"16,826","1,141","1,545","1,984","15,467","1,040","1,348","3,533","3,102","3,102","30,355","24,678","2,181","2,181","2,893","2,893","3,102","3,102","30,162","30,162","2,181","2,181","2,893","2,893"
Unclassified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,618,NA,NA,NA,666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Structures Related to Movement,0.860,0.878,0.825,0.526,0.519,0.499,0.463,0.473,0.005,0.006,0.006,0.007,0.008,0.009,0.007,0.010,0.620,0.771,0.672,0.727,0.677,0.795,0.679,0.738,0.018,0.013,0.027,0.022,0.016,0.012,0.013,0.010,0.293,0.195,0.204,0.117,0.266,0.182,0.223,0.137,0.019,0.021,0.024,0.028,0.019,0.022,0.018,0.016,333,195,285,173,227,191,282,82,134,147,30,25,119,133,155,195,134,151,25,25,119,136,153,194,"84,655","41,597","56,383","77,263","67,704","42,402","61,776","36,975","314,681","268,466","38,171","30,025","84,745","65,195","91,400","98,546","314,681","275,133","37,846","30,025","84,745","67,097","90,500","98,434"
"Congenital Malformations, Deformations and Chromosomal Abnormalities",0.973,0.852,NA,0.724,NA,NA,NA,NA,0.012,0.055,NA,0.100,NA,NA,NA,NA,0.959,0.967,NA,NA,NA,NA,NA,NA,0.017,0.013,NA,NA,NA,NA,NA,NA,0.057,0.000,NA,NA,NA,NA,NA,NA,0.051,0.006,NA,NA,NA,NA,NA,NA,3,3,2,6,2,2,2,2,4,4,0,0,0,1,0,0,4,4,0,0,0,1,0,0,237,143,124,300,106,50,56,82,"30,708","30,708",NA,NA,NA,"2,690",NA,NA,"30,708","30,708",NA,NA,NA,"2,690",NA,NA
